,date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
38,2013-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2013-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2013-10-08,0.027223919,0.03149272,0.03065935,0.03051093,0.029187245,0.02805486,0.024173502,0.02217014,0.024715642,0.027093051,0.028737545,0.02941508,0.0254606,0.02547758,0.027824093,0.027173484,0.02958615,0.031443067,0.024592577,0.02476489,0.025481185,0.023102319,0.02666665,0.031137537,0.034717824,0.030167159,0.02819041,0.024924215,0.022266453,0.02229387,0.030769497,0.035366543,0.032751326,0.03005316,0.03247843,0.02928356,0.027596157,0.025209794,0.027988307,0.038194887,0.03411462,0.031394247,0.031989235,0.037240487,0.034189783,0.033615325,0.038281243,0.039474636,0.03999096,0.037548583,0.03524819,0.033503827,0.0378689,0.039332293,0.033551246,0.031663902,0.03205827,0.04106094,0.039118353,0.0414196,0.04315855,0.03705909,0.041098382,0.029107686,0.029070655,0.031518865,0.03694973,0.04425306,0.043156452,0.04574613,0.041867137,0.039428085
41,2013-10-15,0.027223919,0.03149272,0.03065935,0.03051093,0.029187245,0.02805486,0.024173502,0.02217014,0.024715642,0.027093051,0.028737545,0.02941508,0.0254606,0.02547758,0.027824093,0.027173484,0.02958615,0.031443067,0.024592577,0.02476489,0.025481185,0.023102319,0.02666665,0.031137537,0.034717824,0.030167159,0.02819041,0.024924215,0.022266453,0.02229387,0.030769497,0.035366543,0.032751326,0.03005316,0.03247843,0.02928356,0.027596157,0.025209794,0.027988307,0.038194887,0.03411462,0.031394247,0.031989235,0.037240487,0.034189783,0.033615325,0.038281243,0.039474636,0.03999096,0.037548583,0.03524819,0.033503827,0.0378689,0.039332293,0.033551246,0.031663902,0.03205827,0.04106094,0.039118353,0.0414196,0.04315855,0.03705909,0.041098382,0.029107686,0.029070655,0.031518865,0.03694973,0.04425306,0.043156452,0.04574613,0.041867137,0.039428085
42,2013-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2013-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3789314e-05,0.0050790864,0.0046082265,,,,,0.0007321807,,,,,,,,
44,2013-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2013-11-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
46,2013-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2013-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
