,date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
65,2014-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2014-04-08,0.03339762,0.02957515,0.023357276,0.020364894,0.016957767,0.020845167,0.027360834,0.026703315,0.031448312,0.024675881,0.019152716,0.017684327,0.017484924,0.020450411,0.00802143,0.026259724,0.020929828,0.017555894,0.015901916,0.012710978,0.01681467,0.0010655746,0.016656358,0.011084062,0.011506523,0.014432997,0.0064070043,0.008909419,,0.0011793018,0.0034947104,0.012676009,0.010936163,0.0037658918,0.0011134678,,,,0.0072627813,0.013725877,,
67,2014-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2014-04-22,,,0.48137814,0.43692473,0.3931956,0.39053255,,,,,0.50932556,0.43889725,0.4314313,,,,,,0.4120837,0.3600479,0.45300823,,0.49034715,,0.47514537,0.3987243,0.38262823,0.44333687,,,,,0.40804896,0.4463658,0.44685996,,,0.4784261,,0.46763968,,
69,2014-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2014-05-06,,,,,,,,,,,,,,,0.6475898,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2014-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2014-05-20,0.39839485,0.3980719,0.45612884,0.42212597,0.2976093,0.24745509,0.22457644,0.40035772,0.327712,0.36786252,0.39730987,0.2811942,0.22806294,0.21818544,0.35663727,0.26322925,0.2660608,0.26782778,0.25496212,0.19223142,0.15478714,0.33988765,0.262747,0.23831174,0.25506932,0.21534996,0.1944115,0.15390472,0.32365978,0.32908526,0.24968031,0.18370482,0.15662377,0.13911061,0.117289424,0.2592893,0.24145699,0.19157885,0.13902721,0.11236151,0.09242029,
73,2014-05-27,0.39839485,0.3980719,0.45612884,0.42212597,0.2976093,0.24745509,0.22457644,0.40035772,0.327712,0.36786252,0.39730987,0.2811942,0.22806294,0.21818544,0.35663727,0.26322925,0.2660608,0.26782778,0.25496212,0.19223142,0.15478714,0.33988765,0.262747,0.23831174,0.25506932,0.21534996,0.1944115,0.15390472,0.32365978,0.32908526,0.24968031,0.18370482,0.15662377,0.13911061,0.117289424,0.2592893,0.24145699,0.19157885,0.13902721,0.11236151,,
74,2014-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2014-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2014-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2014-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2014-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2014-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2014-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2014-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2014-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19466476,,,,,,,
83,2014-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2014-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,2014-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,2014-08-26,0.6673011,0.7279875,0.6630002,0.66377157,0.6503767,0.5345366,0.5556877,0.45631108,0.5271718,0.4743692,0.41961125,0.45923296,0.40082884,0.37158188,0.42371622,0.47353086,0.37871498,0.35843128,0.33350432,0.2877052,0.27916327,0.47306484,0.5128737,0.3584291,0.35731912,0.37273228,0.3131993,0.3056115,0.45167884,0.47943836,0.44241133,0.42869434,0.3963944,0.3662811,0.37113598,0.43078333,0.5297281,0.5561511,0.50665814,0.47738445,0.4723508,0.46574712
87,2014-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,2014-09-09,,0.8670472,,0.86839354,0.86861485,,0.8625751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82068473,,0.83113676,0.8235193,
89,2014-09-16,0.86687577,0.8670472,0.8687359,0.86839354,0.86861485,,0.8625751,,,,,,,,,0.83732617,,,,,,0.82354534,0.84235626,,,,,,0.8230522,,,,0.83674264,,0.81878036,,0.8215822,0.82068473,,0.83113676,0.8235193,0.81937206
90,2014-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,2014-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,2014-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,2014-10-14,0.40735078,0.41786885,0.43399292,0.47085863,0.46194446,0.44829556,0.5411568,0.4176151,0.42010304,0.43008417,0.4786182,0.5074221,0.488189,0.5726743,0.43096316,0.42107663,0.45608056,0.5056881,0.55721605,0.53823876,0.5819623,0.48043743,0.4559531,0.45993432,0.48470408,0.5490333,0.54757684,0.5459839,0.50968486,0.4621555,0.44380823,0.4258349,0.53323853,0.48954892,0.4633958,0.46054724,0.43481067,0.3926215,0.39615145,0.50040424,0.5044961,0.46157902
94,2014-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,2014-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,2014-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2014-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,2014-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,2014-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
