,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,date
25,0.9037511,0.90165097,0.9082291,0.9074757,0.8944273,0.86151963,0.8707319,0.8833715,0.88298875,0.87529147,0.8771815,0.89248836,0.9030306,0.9031214,0.90246665,0.8914411,0.87238514,0.8681339,0.88203335,0.8885859,0.8874093,0.8895635,0.8601662,0.875402,0.8923988,0.8986117,0.9033706,0.89266926,0.8636889,0.85615444,0.8852491,0.8959081,0.8985861,0.839468,0.88506,0.9063771,0.90616137,0.90958947,0.90194225,0.8857357,0.90485376,0.9095842,0.902423,0.902423,0.87967265,0.9078729,0.9031208,0.9064174,0.9064554,0.8957633,0.90047354,0.9069632,0.9089591,0.9089591,0.9089166,0.90532184,0.9059999,0.9057241,0.90412253,0.89972293,0.89733624,0.9019627,0.90099555,0.90247524,0.90247524,0.9077232,0.9061822,0.910895,0.90349466,0.89733595,0.89662224,0.90268123,0.90694994,0.8995857,0.8995857,0.89886904,0.892984,0.9103872,0.9115086,0.9020169,0.90190005,0.9023385,0.90716594,0.90845996,0.9070901,0.9070901,0.90655917,0.87905073,0.91193575,0.9119146,0.90979135,0.90739846,0.9099504,0.9087673,0.90764797,0.90764797,0.9107744,0.90447956,0.8787345,0.9128355,0.9140758,0.9139193,0.91275436,0.90992,0.90296674,0.90098476,0.90098476,0.90296596,0.89882827,0.89924043,0.91077,0.90778685,0.91212827,0.91146314,0.90792847,0.90264636,0.90288913,0.90288913,0.9023619,0.8983683,0.90039295,2013-06-25
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-07-02
27,0.8655332,0.8626749,0.87208444,0.87217116,0.8607189,0.8293048,0.8412627,0.8456417,0.84550804,0.84886134,0.8409673,0.84698176,0.8646852,0.86626226,0.865166,0.85672873,0.83503246,0.83128405,0.84180343,0.8567922,0.8546476,0.8578462,0.7990552,0.8445183,0.85507894,0.86421216,0.86905956,0.85451186,0.8238281,0.81997734,0.85454965,0.86447215,0.8643875,0.77885056,0.86226916,0.87183344,0.86922777,0.8725934,0.8627774,0.8421591,0.86467195,0.87271994,0.8654525,0.8654525,0.8441187,0.87118196,0.86301345,0.86503935,0.8683079,0.8591241,0.8627171,0.8699348,0.8720282,0.8720282,0.8723067,0.8727477,0.86898935,0.8682108,0.8686371,0.8605846,0.8620731,0.8654688,0.86182207,0.86296487,0.86296487,0.86967003,0.87510383,0.8727935,0.8646339,0.8612725,0.8535925,0.8688201,0.8762101,0.86458427,0.86458427,0.86236924,0.8586467,0.8751223,0.87252045,0.8648094,0.8622446,0.8589082,0.87077713,0.87441605,0.87173074,0.87173074,0.86349523,0.8353119,0.87557614,0.87509656,0.8701948,0.868877,0.8652847,0.86048204,0.86079633,0.86079633,0.8684009,0.86365765,0.82823825,0.87480336,0.87497634,0.8756072,0.86692137,0.8554526,0.84798026,0.84617496,0.84617496,0.8576678,0.85319406,0.85566926,0.87108934,0.86565053,0.8743969,0.8617778,0.8572964,0.85319084,0.8552928,0.8552928,0.8576026,0.85150445,0.8550409,2013-07-09
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-07-16
29,0.883648,0.88035554,0.88726515,0.8847307,0.871966,0.8380752,0.8447547,0.85363823,0.8578848,0.85306346,0.85502523,0.8656555,0.8842473,0.878935,0.8831299,0.87170976,0.83871365,0.82252043,0.84908384,0.86617684,0.86637264,0.8714601,0.81905717,0.84630567,0.8700781,0.88092786,0.88813484,0.86957866,0.8258875,0.8230739,0.8656477,0.8782563,0.87920964,0.7964022,0.8703455,0.8927102,0.8923304,0.8949613,0.88403463,0.86208665,0.88554245,0.89038885,0.88346404,0.88346404,0.8562302,0.8918346,0.88633716,0.890002,0.88708603,0.8765761,0.88352597,0.88848525,0.8918079,0.8918079,0.89315385,0.887756,0.89146304,0.8907624,0.8875704,0.8803487,0.8799254,0.8839075,0.8815665,0.8835639,0.8835639,0.8913087,0.89113563,0.8956068,0.88631046,0.88060385,0.87696475,0.8847756,0.88984305,0.88224536,0.88224536,0.8813493,0.87708676,0.890871,0.8956163,0.88641673,0.8827983,0.8819832,0.8904204,0.8975042,0.8930835,0.8930835,0.8884642,0.85961205,0.892914,0.89633656,0.8926999,0.8892378,0.8899923,0.8879824,0.8824255,0.8824255,0.88791716,0.88230115,0.8587801,0.89381677,0.89607257,0.8969817,0.89501727,0.88501513,0.8733423,0.87311924,0.87311924,0.87831795,0.8740864,0.87364703,0.8857607,0.8866974,0.8947451,0.8886268,0.8824431,0.87354827,0.8742791,0.8742791,0.87831295,0.8698655,0.8714254,2013-07-23
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-07-30
31,0.881195,0.87554216,0.8835789,0.8892541,0.8707758,0.8355169,0.8341011,0.8304072,0.85234827,0.8522918,0.8507588,0.86511123,0.8793895,0.8749073,0.8813789,0.8649525,0.8186606,0.8022354,0.83584845,0.86035174,0.8628212,0.86849695,0.8122282,0.86206496,0.8752508,0.8835273,0.88950413,0.8717588,0.81253636,0.821682,0.86573994,0.87432003,0.8786738,0.7564646,0.87947005,0.89411056,0.891932,0.8937116,0.88782066,0.84671336,0.8800392,0.8853195,0.88571936,0.88571936,0.8685857,0.89054215,0.89125055,0.89215595,0.8791699,0.8769566,0.8777288,0.88741565,0.8898786,0.8898786,0.8902797,0.8873549,0.8938048,0.8873444,0.8856999,0.8734227,0.87637174,0.8784069,0.8758101,0.88330346,0.88330346,0.8872802,0.8887949,0.89242065,0.88311756,0.87976474,0.87108135,0.88197684,0.8835764,0.87796026,0.87796026,0.879577,0.8868226,0.88868797,0.8889296,0.88536346,0.8786324,0.87637573,0.8842828,0.88802654,0.88948935,0.88948935,0.88909066,0.8524481,0.8925288,0.893448,0.8925354,0.884633,0.8897257,0.8797558,0.87469023,0.87469023,0.8857731,0.8815002,0.85184234,0.8865598,0.8937036,0.89125925,0.8917542,0.88697416,0.86034864,0.8628956,0.8628956,0.8734748,0.8752164,0.8675369,0.8762349,0.88107944,0.8870564,0.88825715,0.881124,0.8688567,0.8703771,0.8703771,0.8731256,0.861373,0.8650079,2013-08-06
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-08-13
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-08-20
34,0.8613152,0.8649496,0.86927193,0.8757518,0.86292505,0.8327305,0.834655,0.83525723,0.8473344,0.8538172,0.8502501,0.8503073,0.8667534,0.8730499,0.8718877,0.86235136,0.8221365,0.81455153,0.83534294,0.85303766,0.8565414,0.85814124,0.8102374,0.85489136,0.8708406,0.8781988,0.88393366,0.86577725,0.81917924,0.8229008,0.8579761,0.8682058,0.87183845,0.76105076,0.87569934,0.886062,0.88544303,0.8878785,0.87734485,0.8472964,0.8746125,0.88307685,0.8794997,0.8794997,0.8586882,0.8853827,0.8799089,0.8863746,0.87584716,0.8690917,0.8728135,0.88101715,0.88549566,0.88549566,0.8844685,0.8816767,0.8855191,0.88209486,0.8790912,0.8688516,0.86883545,0.8727865,0.87317353,0.8739492,0.8739492,0.8783966,0.8835815,0.8874005,0.87699443,0.87013245,0.8679854,0.8747795,0.8788293,0.8723258,0.8723258,0.86943054,0.87071794,0.883153,0.885808,0.879072,0.87099975,0.86555463,0.87541354,0.8813805,0.87597346,0.87597346,0.8791031,0.84499604,0.8818546,0.8881705,0.8836651,0.8781324,0.8751086,0.8708312,0.86794215,0.86794215,0.8725348,0.85461754,0.8458028,0.87601775,0.8832867,0.8860326,0.882478,0.8679206,0.852363,0.8490556,0.8490556,0.86019534,0.8572211,0.8556935,0.8697946,0.87422585,0.88043666,0.8745662,0.8626166,0.85496455,0.85801536,0.85801536,0.8591307,0.846098,0.8505834,2013-08-27
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-09-03
36,0.86832595,0.8730689,0.8749925,0.87671924,0.8596655,0.8455089,0.84181756,0.8488196,0.85307163,0.8475727,0.85739523,0.8580053,0.87932587,0.868792,0.8777639,0.86725694,0.8445431,0.8290526,0.8513502,0.85868376,0.8594493,0.86820716,0.8460477,0.8439395,0.8712485,0.8748699,0.8781597,0.86358714,0.8247346,0.82024103,0.8525499,0.8649815,0.8635908,0.8315203,0.8500333,0.8826785,0.88217217,0.88185287,0.8735209,0.8476065,0.8682764,0.8802627,0.86979854,0.86979854,0.8671434,0.8782826,0.8773379,0.87930715,0.8748436,0.8606481,0.86521995,0.8771207,0.877643,0.877643,0.8795019,0.88070124,0.8802401,0.8763304,0.8707712,0.8665971,0.86284536,0.8668689,0.8657468,0.86828446,0.86828446,0.8767872,0.8811305,0.87930965,0.8677539,0.8613365,0.86487234,0.868253,0.87252206,0.86854804,0.86854804,0.8660437,0.8655669,0.8773803,0.8766229,0.8652857,0.8568554,0.86555666,0.87388957,0.8800136,0.8780094,0.8780094,0.87943286,0.8555419,0.8727506,0.87704223,0.8694523,0.86413723,0.8749374,0.8753473,0.87237126,0.87237126,0.882918,0.88186675,0.8554957,0.8694719,0.8784569,0.8766616,0.8782382,0.8706874,0.86547714,0.8627143,0.8627143,0.8719192,0.8711654,0.86382353,0.8706866,0.870323,0.87425756,0.8736717,0.86966944,0.8645437,0.8633693,0.8633693,0.86492014,0.8625172,0.8595423,2013-09-10
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-09-17
