,0,date
156,0.4874102813240615,2020-01-01
157,0.48801594102380064,2020-01-08
158,0.4866857775721798,2020-01-15
159,0.4829719657585144,2020-01-22
160,0.4764452848246834,2020-01-29
161,0.4666774535268421,2020-02-05
162,0.453848021561287,2020-02-12
163,0.4397896313924246,2020-02-19
164,0.426613300085137,2020-02-26
165,0.41643004470430645,2020-03-04
166,0.4113442189459452,2020-03-11
167,0.41340808408889473,2020-03-18
168,0.4246493913658689,2020-03-25
169,0.44709574919046013,2020-04-01
170,0.48268314183093736,2020-04-08
171,0.5304213532263381,2020-04-15
172,0.5858505441805508,2020-04-22
173,0.6443095772501801,2020-04-29
174,0.7011376956505531,2020-05-06
175,0.7524160940183681,2020-05-13
176,0.7965165808186278,2020-05-20
177,0.8322516245633691,2020-05-27
178,0.858433693764628,2020-06-03
179,0.8741413204110036,2020-06-10
180,0.880854702084167,2020-06-17
181,0.8813280325567544,2020-06-24
182,0.8783272030797116,2020-07-01
183,0.8745883659841718,2020-07-08
184,0.8716298872717038,2020-07-15
185,0.8693515442999614,2020-07-22
186,0.867541175337482,2020-07-29
187,0.8659866115949788,2020-08-05
188,0.8643781451650321,2020-08-12
189,0.8620635308015561,2020-08-19
190,0.8583153715558687,2020-08-26
191,0.8524062704792872,2020-09-02
192,0.8436619599753008,2020-09-09
193,0.8319650837597656,2020-09-16
194,0.8175307071885367,2020-09-23
195,0.8005783446818722,2020-09-30
196,0.7813279277158989,2020-10-07
197,0.760021986167018,2020-10-14
198,0.7369367499807002,2020-10-21
199,0.7123511982499846,2020-10-28
200,0.6865443100679081,2020-11-04
201,0.65980190478715,2020-11-11
202,0.6324371627989644,2020-11-18
203,0.6047701047542455,2020-11-25
204,0.5771207513038874,2020-12-02
205,0.5498237860964608,2020-12-09
206,0.5233936372367585,2020-12-16
207,0.4984652648427488,2020-12-23
208,0.47567585346345376,2021-01-01
209,0.45566323350641835,2021-01-08
210,0.4391134921202041,2021-01-15
211,0.4267935617466325,2021-01-22
212,0.41947808747038584,2021-01-29
213,0.41794171437614513,2021-02-05
214,0.42282863090187617,2021-02-12
215,0.4341884112448346,2021-02-19
216,0.4519013104007722,2021-02-26
217,0.4758475711136906,2021-03-05
218,0.5058599385269094,2021-03-12
219,0.541084363941859,2021-03-19
220,0.5801500718467484,2021-03-26
221,0.6216736680159047,2021-04-02
222,0.6642717200576612,2021-04-09
223,0.7065566388446312,2021-04-16
224,0.7471329992062447,2021-04-23
225,0.7846045078723483,2021-04-30
226,0.8175748715727926,2021-05-07
227,0.8448607658936439,2021-05-14
228,0.8663859089367019,2021-05-21
229,0.8824326003149427,2021-05-28
230,0.8932833236118477,2021-06-04
231,0.8992509745251058,2021-06-11
232,0.9011726389849464,2021-06-18
233,0.9003274929040789,2021-06-25
234,0.8980085547597143,2021-07-02
235,0.895506405110874,2021-07-09
236,0.8936932387484731,2021-07-16
237,0.8925520344311116,2021-07-23
238,0.8919520274063144,2021-07-30
239,0.8917624529216057,2021-08-06
240,0.891711837872719,2021-08-13
241,0.8906931301968181,2021-08-20
242,0.8872920411449305,2021-08-27
243,0.8800938070773962,2021-09-03
244,0.8677270740551304,2021-09-10
245,0.8497239274109016,2021-09-17
246,0.8264700761033607,2021-09-24
247,0.7983846656139951,2021-10-01
248,0.7658874215915936,2021-10-08
249,0.7295741776550894,2021-10-15
250,0.6904636731228707,2021-10-22
251,0.6496368249304221,2021-10-29
252,0.6081745500132237,2021-11-05
253,0.5671865705668208,2021-11-12
254,0.5279785299112041,2021-11-19
255,0.4919376575724079,2021-11-26
256,0.4604514518527673,2021-12-03
257,0.4348676044113411,2021-12-10
258,0.41551755616441155,2021-12-17
259,0.40165719106939346,2021-12-24
260,0.39249071323427526,2022-01-01
261,0.38722216384207575,2022-01-08
262,0.38495017765450656,2022-01-15
263,0.38448671993150385,2022-01-22
264,0.3845954818678305,2022-01-29
265,0.38404015465824887,2022-02-05
266,0.3818864878154009,2022-02-12
267,0.37956164115492325,2022-02-19
268,0.3796038435999876,2022-02-26
269,0.38455779823181335,2022-03-05
270,0.3969295627547765,2022-03-12
271,0.41799097747298186,2022-03-19
272,0.4475504595602038,2022-03-26
273,0.4853315222972912,2022-04-02
274,0.5310573000796264,2022-04-09
275,0.5837124321755183,2022-04-16
276,0.6400016145827389,2022-04-23
277,0.6961909360155385,2022-04-30
278,0.748546485188173,2022-05-07
279,0.7935937201210534,2022-05-14
280,0.8301993384009163,2022-05-21
281,0.8584719799974265,2022-05-28
282,0.8785316880494173,2022-06-04
283,0.8905163355243421,2022-06-11
284,0.8952939134197995,2022-06-18
285,0.8947028298941191,2022-06-25
286,0.8906486056567056,2022-07-02
287,0.8850367320109932,2022-07-09
288,0.8793663097366053,2022-07-16
289,0.8737092796065032,2022-07-23
290,0.8678244676109044,2022-07-30
291,0.8614706997400252,2022-08-06
292,0.8543958470117348,2022-08-13
293,0.8462329484766759,2022-08-20
294,0.8365464997208097,2022-08-27
295,0.824900078958146,2022-09-03
296,0.8108636999440366,2022-09-10
297,0.794356089760955,2022-09-17
298,0.7758159973985056,2022-09-24
299,0.7557245936276082,2022-10-01
300,0.7345630492191847,2022-10-08
301,0.7130268247489704,2022-10-15
302,0.6914906002787575,2022-10-22
303,0.6699543758085432,2022-10-29
304,0.6484181513383289,2022-11-05
305,0.626881926868116,2022-11-12
306,0.6053457023979016,2022-11-19
307,0.5838094779276873,2022-11-26
308,0.5622732534574745,2022-12-03
309,0.5407370289872602,2022-12-10
310,0.5192008045170459,2022-12-17
311,0.49766458004683295,2022-12-24
